MODE,ACTIVITY RECOGNIZED,PROBABILITY,TIMESTAMP,X AXIS,Y AXIS,Z AXIS,ACC MAGNITUDE,X FILTER AXIS,Y FILTER AXIS,Z FILTER AXIS,XG_AXIS,YG_AXIS,ZG_AXIS,Gyro_filter_X,Gyro_filter_Y,Gyro_filter_Z,BAROMETER,HEIGHT,x_magno,y_magno,z_magno,MAGNETOMETER,TIME,DATE,GENDER,CROWD DETECTED,COACH,IS_TRAIN_STARTED,STATION_CROWD,LATITUDE,LONGITUDE
6,,,1.5395E+12,1.99E-04,3.89E-04,-7.70E-04,8.85E-04,-5.12E-04,0.006499897,0.037732057,0.073303826,-0.07696902,-0.11728613,0.07330382,-0.07696902,-0.11728613,,,-37.0625,32.8125,-27.4375,56.59598456,13:40:11,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,9.62E-04,1.99E-04,2.01E-04,0.001002413,-8.12E-05,0.003654607,0.020079993,0.003665192,-0.080634214,-0.006108652,0.066339955,-0.07733554,-0.10616838,988.0299683,12.54,-37.25,31.25,-27.25,55.7376668,13:40:11,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-3.87E-04,5.65E-04,5.83E-04,8.99E-04,8.61E-05,0.00211405,0.010926566,0.003665192,-0.080634214,-0.006108652,0.066339955,-0.07733554,-0.10616838,988.0299683,12.54,-37.25,31.25,-27.25,55.7376668,13:40:11,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-1.94E-04,-9.65E-04,-1.96E-04,0.001003902,-1.81E-04,6.95E-04,0.005700345,-0.014660766,-0.112399206,-0.27855456,0.05823988,-0.08084191,-0.123407,988.0299683,12.54,-37.6875,29.5625,-27.125,55.04593252,13:40:11,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-0.002116501,-0.001549482,9.78E-04,0.002799621,-4.46E-04,2.77E-05,0.003372361,-0.057421334,0.20158553,-0.453262,0.04667376,-0.052599162,-0.1563925,987.9699707,13.0521,-38.0625,27.75,-26.8125,54.20079854,13:40:11,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-5.69E-04,0.001360059,0.002296448,0.002728905,1.25E-04,4.88E-04,0.001186127,-0.057421334,0.20158553,-0.453262,0.04667376,-0.052599162,-0.1563925,987.9699707,13.0521,-38.0625,27.75,-26.8125,54.20079854,13:40:11,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,0.001156878,-1.99E-04,-3.81E-04,0.001234347,1.06E-04,1.54E-08,0.001257941,-0.28588495,0.080634214,-0.14049901,0.01341789,-0.039275825,-0.15480314,987.9699707,13.0521,-38.375,26.125,-26.6875,53.54791225,13:40:11,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-3.83E-04,-3.85E-04,-7.71E-04,9.43E-04,3.18E-04,-7.74E-05,4.62E-04,-0.28588495,0.080634214,-0.14049901,0.01341789,-0.039275825,-0.15480314,987.9699707,13.0521,-38.375,26.125,-26.6875,53.54791225,13:40:12,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,1.92E-04,7.72E-04,-1.94E-04,8.19E-04,1.58E-04,2.75E-05,1.83E-04,0.07941248,-0.10995574,-0.06352998,0.02001735,-0.046343815,-0.14567581,988,12.7958,-38.625,24.3125,-26.375,52.71270156,13:40:12,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-5.73E-04,5.80E-04,-1.92E-04,8.38E-04,4.37E-05,1.51E-04,9.32E-05,0.09285152,-0.013439035,-0.17470746,0.027300766,-0.043053333,-0.14857897,988,12.7958,-38.8125,22.8125,-26.125,52.0512818,13:40:12,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-7.76E-04,-3.85E-04,-7.64E-04,0.001154761,-1.60E-04,7.01E-05,5.96E-05,0.09285152,-0.013439035,-0.17470746,0.027300766,-0.043053333,-0.14857897,988,12.7958,-38.8125,22.8125,-26.125,52.0512818,13:40:12,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-3.77E-04,-3.75E-04,-3.83E-04,6.56E-04,3.50E-05,3.07E-06,-4.46E-05,0.04520403,-0.002443461,-0.118507855,0.029091092,-0.038992345,-0.14557186,987.9699707,13.0521,-38.8125,21.3125,-25.875,51.28497282,13:40:12,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-1.95E-04,9.63E-04,5.73E-04,0.001137857,-1.36E-04,1.13E-04,1.16E-04,0.04520403,-0.002443461,-0.118507855,0.029091092,-0.038992345,-0.14557186,987.9699707,13.0521,-38.8125,21.3125,-25.875,51.28497282,13:40:12,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-3.83E-04,9.54E-06,-3.75E-04,5.36E-04,-1.42E-04,2.08E-04,7.95E-05,0.009773844,-0.040317107,-0.13683382,0.027159367,-0.03912482,-0.14469805,987.9699707,13.0521,-38.875,19.875,-25.5,50.56215235,13:40:12,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-5.75E-04,-1.91E-06,-7.59E-04,9.52E-04,-1.40E-04,4.60E-05,-1.16E-04,0.009773844,-0.040317107,-0.13683382,0.027159367,-0.03912482,-0.14469805,987.9699707,13.0521,-38.875,19.875,-25.5,50.56215235,13:40:12,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-5.73E-04,-5.72E-06,-2.86E-06,5.73E-04,-6.49E-05,-1.93E-05,-6.67E-05,0.04642576,-0.001221731,-0.019547688,0.029086005,-0.035334513,-0.13218302,987.8299561,14.2473,-39.1875,18.3125,-25.3125,50.11716741,13:40:12,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,1.90E-04,-7.58E-04,1.91E-06,7.82E-04,-6.52E-05,5.41E-05,1.34E-06,0.04642576,-0.001221731,-0.019547688,0.029086005,-0.035334513,-0.13218302,987.8299561,14.2473,-39.1875,18.3125,-25.3125,50.11716741,13:40:13,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-3.79E-06,3.87E-04,-5.77E-04,6.95E-04,-6.03E-05,7.83E-05,-4.11E-05,-0.042760566,-0.017104227,0.017104227,0.021901347,-0.033511482,-0.11725429,987.8299561,14.2473,-38.9375,15.8125,-25.0625,48.93151304,13:40:13,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-1.92E-04,3.87E-04,7.60E-04,8.74E-04,-7.34E-05,1.09E-04,3.90E-05,-0.003665192,0.009773844,0.015882496,0.019344693,-0.02918295,-0.103940606,987.8599854,13.991,-38.9375,15.8125,-25.0625,48.93151304,13:40:13,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,7.64E-04,-7.62E-04,-5.67E-04,0.001219432,1.04E-05,2.20E-05,-2.16E-05,-0.02076942,-0.032986723,0.035430185,0.01533328,-0.029563326,-0.09000352,987.8599854,13.991,-38.875,14.9375,-24.9375,48.54146102,13:40:13,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-7.59E-04,1.84E-04,-5.80E-04,9.72E-04,-6.65E-05,3.82E-05,-7.74E-05,-0.001221731,-0.030543262,0.008552114,0.013677779,-0.02966132,-0.08014795,987.9400024,13.3079,-38.9375,14.375,-24.875,48.38941161,13:40:13,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,7.59E-04,1.79E-06,9.52E-04,0.001217076,1.60E-05,3.45E-05,2.55E-05,-0.013439035,0.002443461,-0.010995574,0.010966097,-0.026450843,-0.07323271,987.9400024,13.3079,-38.75,13.875,-24.6875,47.99532041,13:40:13,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,1.99E-04,1.92E-04,-5.66E-04,6.29E-04,3.43E-05,5.02E-05,-3.36E-05,-0.003665192,-0.02443461,-0.032986723,0.009502968,-0.026249219,-0.06920811,987.9099731,13.5643,-38.6875,13.75,-24.4375,47.780504,13:40:14,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,1.94E-04,-1.90E-04,-1.96E-04,3.35E-04,5.02E-05,2.62E-05,-4.99E-05,-0.080634214,-0.02321288,-0.017104227,4.89E-04,-0.025945583,-0.06399772,987.9099731,13.5643,-38.625,13.5,-24.375,47.62647636,13:40:14,10/14/2018,female,,,FALSE,,28.4308298,77.074955
