MODE,ACTIVITY RECOGNIZED,PROBABILITY,TIMESTAMP,X AXIS,Y AXIS,Z AXIS,ACC MAGNITUDE,X FILTER AXIS,Y FILTER AXIS,Z FILTER AXIS,XG_AXIS,YG_AXIS,ZG_AXIS,Gyro_filter_X,Gyro_filter_Y,Gyro_filter_Z,BAROMETER,HEIGHT,x_magno,y_magno,z_magno,MAGNETOMETER,TIME,DATE,GENDER,CROWD DETECTED,COACH,IS_TRAIN_STARTED,STATION_CROWD,LATITUDE,LONGITUDE
5,,,1539503314886,-0.0025055408,2.0694733E-4,0.0030603409,0.003960586881504462,0.012162043,0.035323508,0.04729667,0.21502456,-0.065973446,-0.2919936,0.21502455,-0.065973446,-0.2919936,983.97998046875,47.1664,26.4375,-51.5,-1.0625,57.8992254913656,13:18:34,2018/10/14,female,,,false,,28.4308298,77.074955
5,,,1539503314995,-0.0038520023,-0.008102417,-0.0018606186,0.009162367846331877,0.00534925,0.017107448,0.027368072,0.21502456,-0.065973446,-0.2919936,0.21502455,-0.065973446,-0.2919936,983.97998046875,47.1664,26.4375,-51.5,-1.0625,57.8992254913656,13:18:34,2018/10/14,female,,,false,,28.4308298,77.074955
5,,,1539503315112,0.0034915209,7.6031685E-4,0.0030641556,0.004707212464661566,0.0025249338,0.008262728,0.012833448,0.5412266,-0.118507855,-0.008552114,0.24764475,-0.07122688,-0.26364943,983.97998046875,47.1664,27.375,-50.875,-2.0625,57.80925666577975,13:18:35,2018/10/14,female,,,false,,28.4308298,77.074955
5,,,1539503315230,-0.0011879206,0.0017585754,-0.0032749176,0.003902413120260916,7.6117006E-4,0.0055844756,0.0067864037,0.5412266,-0.118507855,-0.008552114,0.24764475,-0.07122688,-0.26364943,983.97998046875,47.1664,27.375,-50.875,-2.0625,57.80925666577975,13:18:35,2018/10/14,female,,,false,,28.4308298,77.074955
5,,,1539503315354,-5.840063E-4,0.0046429634,0.0063819885,0.00791378228971538,9.0547756E-4,0.0038975703,0.0041195955,0.16249016,-0.14660765,-0.05131268,0.23912929,-0.07876496,-0.24241576,984.0399780273438,46.6526,28.125,-50.125,-2.8125,57.54512495642007,13:18:35,2018/10/14,female,,,false,,28.4308298,77.074955
5,,,1539503315474,0.0029001236,0.0025134087,0.0044574738,0.005881922495688416,0.0016798567,0.0023939004,0.0027371654,0.16249016,-0.14660765,-0.05131268,0.23912929,-0.07876496,-0.24241576,984.0399780273438,46.6526,28.125,-50.125,-2.8125,57.54512495642007,13:18:35,2018/10/14,female,,,false,,28.4308298,77.074955
5,,,1539503315601,0.0030798912,-0.0032930374,-0.007960796,0.0091489946918856,0.0015143403,-1.2936255E-4,-5.662084E-4,-0.30298916,-0.23945917,-0.09773844,0.18491744,-0.09483438,-0.22794802,984.0399780273438,46.6526,29.25,-49.1875,-3.5,57.334306102454924,13:18:35,2018/10/14,female,,,false,,28.4308298,77.074955
5,,,1539503315694,-0.0013387203,0.004087925,0.0056142807,0.007072725807070147,0.0016435321,0.0015850983,0.0013892702,-0.7049385,-0.54733527,0.058643065,0.09593184,-0.14008446,-0.1992889,983.97998046875,47.1664,29.8125,-48.25,-4.3125,56.88097496087774,13:18:35,2018/10/14,female,,,false,,28.4308298,77.074955
5,,,1539503315803,0.0011472702,-0.003871441,-0.005024433,0.0064458678082073805,7.8489183E-4,-6.019597E-4,-7.6487544E-4,-0.7049385,-0.54733527,0.058643065,0.09593184,-0.14008446,-0.1992889,983.97998046875,47.1664,29.8125,-48.25,-4.3125,56.88097496087774,13:18:35,2018/10/14,female,,,false,,28.4308298,77.074955
5,,,1539503316022,-0.02030462,0.026983261,0.024658203,0.041813884841552684,-0.0014109001,0.002000368,0.0013935573,0.061086524,-0.33964106,-0.5155703,0.0924473,-0.16004013,-0.23091704,983.97998046875,47.1664,30.375,-47.25,-5.0625,56.39886551385586,13:18:36,2018/10/14,female,,,false,,28.4308298,77.074955
