MODE,ACTIVITY RECOGNIZED,PROBABILITY,TIMESTAMP,X AXIS,Y AXIS,Z AXIS,ACC MAGNITUDE,X FILTER AXIS,Y FILTER AXIS,Z FILTER AXIS,XG_AXIS,YG_AXIS,ZG_AXIS,Gyro_filter_X,Gyro_filter_Y,Gyro_filter_Z,BAROMETER,HEIGHT,x_magno,y_magno,z_magno,MAGNETOMETER,TIME,DATE,GENDER,CROWD DETECTED,COACH,IS_TRAIN_STARTED,STATION_CROWD,LATITUDE,LONGITUDE
High,,,1.53E+12,-0.003261536,0.002690792,-0.004630089,0.006270224,-0.003748206,0.022457322,0.04842273,0.65118235,0.007330383,0.4728097,0.65118235,0.007330383,0.4728097,974.2299805,131.0023,10.5,22.0625,-36.75,44.13124071,13:34:06,7/24/2018,female,,,FALSE,,28.6230952,77.2677309
High,,,1.53E+12,0.002513126,-0.001143694,4.01E-04,0.002790168,-0.001644176,0.011966756,0.025459696,0.65118235,0.007330383,0.4728097,0.65118235,0.007330383,0.4728097,974.2299805,131.0023,10.5,22.0625,-36.75,44.13124071,13:34:06,7/24/2018,female,,,FALSE,,28.6230952,77.2677309
High,,,1.53E+12,0.001940493,0.006883621,-0.005550385,0.009052984,-0.001285709,0.011458442,0.022358688,-0.14172074,0.21868975,0.25289822,0.254730805,0.113010066,0.36285396,974.2299805,131.0023,9.125,23,-36.9375,44.45947066,13:34:06,7/24/2018,female,,,FALSE,,28.6230952,77.2677309
High,,,1.53E+12,0.012277722,-0.005868912,0.022545815,0.026334395,7.06E-05,0.009725706,0.0223774,-0.5766568,0.23701571,-0.042760566,-0.160962997,0.175012888,0.160046697,974.1399536,131.7796,8.6875,23.4375,-37,44.65186516,13:34:07,7/24/2018,female,,,FALSE,,28.6230952,77.2677309
High,,,1.53E+12,0.002421141,-0.002740383,-0.008202553,0.008980729,3.06E-04,0.008479097,0.019319404,-0.42760566,0.42149702,0.09040806,-0.294284329,0.298254954,0.125227379,974.1399536,131.7796,8.8125,23.75,-36.8125,44.68649474,13:34:07,7/24/2018,female,,,FALSE,,28.6230952,77.2677309
High,,,1.53E+12,-0.005338848,0.011273384,-0.006402969,0.014021073,-2.59E-04,0.008758525,0.016747165,-1.2534955,0.7330383,0.14660765,-0.773889914,0.515646627,0.135917514,974.0700073,132.3835,8.6875,23.75,-37.6875,45.38593188,13:34:07,7/24/2018,female,,,FALSE,,28.6230952,77.2677309
High,,,1.53E+12,-0.007331759,-0.013869524,0.00127697,0.015740046,-9.66E-04,0.00649572,0.015200146,-0.63529986,-0.002443461,0.41538838,-0.704594887,0.256601583,0.275652947,974.0700073,132.3835,7.625,24.375,-38.5625,46.25308267,13:34:07,7/24/2018,female,,,FALSE,,28.6230952,77.2677309
High,,,1.53E+12,-0.010607839,5.29E-05,0.003843308,0.011282733,-0.001930245,0.00585144,0.014064461,-0.08552113,0.10751228,0.312763,-0.395058009,0.182056932,0.294207974,974.1399536,131.7796,6,25,-39.125,46.81629658,13:34:07,7/24/2018,female,,,FALSE,,28.6230952,77.2677309
High,,,1.53E+12,0.005065382,0.003448248,-0.004750252,0.007753283,-0.001230682,0.005611121,0.01218299,-0.2406809,0.14172074,0.19303341,-0.317869454,0.161888836,0.243620692,974.1399536,131.7796,5.3125,25.6875,-39.25,47.20839769,13:34:08,7/24/2018,female,,,FALSE,,28.6230952,77.2677309
High,,,1.53E+12,0.003498305,6.09E-04,0.004740715,0.005923116,-7.58E-04,0.005110901,0.011438762,-0.25411993,-0.3408628,0.04153884,-0.285994692,-0.089486982,0.142579766,974.1699829,131.5203,6.25,26.5,-39.25,47.76897529,13:34:08,7/24/2018,female,,,FALSE,,28.6230952,77.2677309
High,,,1.53E+12,-1.57E-04,-0.005740166,-0.012019157,0.013320441,-6.98E-04,0.004025795,0.00909297,0.5131268,-0.19058995,-0.3371976,0.113566054,-0.140038466,-0.097308917,974.1699829,131.5203,7.25,27.25,-39.4375,48.48135112,13:34:08,7/24/2018,female,,,FALSE,,28.6230952,77.2677309
High,,,1.53E+12,0.005361438,0.001857996,0.015010834,0.016047501,-9.18E-05,0.003809015,0.009684756,0.6585127,-0.30665436,0.004886922,0.386039377,-0.223346413,-0.046210998,974.0700073,132.3835,7.3125,27.875,-40,49.29998257,13:34:08,7/24/2018,female,,,FALSE,,28.6230952,77.2677309
High,,,1.53E+12,-0.004160181,0.00806284,-0.011342049,0.014524412,-4.99E-04,0.004234397,0.007582076,-0.46303585,0.68416905,-0.16493362,-0.038498237,0.230411318,-0.105572309,974.0700073,132.3835,6,28.25,-40.6875,49.89524182,13:34:08,7/24/2018,female,,,FALSE,,28.6230952,77.2677309
High,,,1.53E+12,-0.009809911,-0.004707813,-0.002028465,0.011068538,-0.001429725,0.003340176,0.006621021,0.2565634,0.92485,-0.014660766,0.109032582,0.577630659,-0.060116537,974.0999756,132.1248,4.875,28.75,-40.4375,49.85498502,13:34:09,7/24/2018,female,,,FALSE,LOW,28.6230952,77.2677309
High,,,1.53E+12,0.008904099,0.002442837,0.005342484,0.01066736,-3.96E-04,0.003250442,0.006493168,-0.18570304,-0.41905355,0.30909783,-0.038335229,0.079288555,0.124490646,974.0999756,132.1248,5.125,28.9375,-40.6875,50.1908078,13:34:09,7/24/2018,female,,,FALSE,LOW,28.6230952,77.2677309
High,,,1.53E+12,0.005835116,-0.007445335,0.006182671,0.011300753,2.27E-04,0.002180864,0.006462118,-0.2003638,-0.06841691,0.376293,-0.119349515,0.005435822,0.250391823,974.0700073,132.3835,6.125,29,-41.0625,50.64231957,13:34:09,7/24/2018,female,,,FALSE,LOW,28.6230952,77.2677309
High,,,1.53E+12,-0.003389299,0.00145793,-0.003960609,0.005412886,-1.35E-04,0.002108571,0.005419845,0.11362094,0.10629055,0.04886922,-0.002864287,0.055863186,0.149630522,974.0700073,132.3835,6.4375,29.25,-41.875,51.48319659,13:34:09,7/24/2018,female,,,FALSE,LOW,28.6230952,77.2677309
High,,,1.53E+12,-9.92E-04,0.004228115,-0.002338409,0.004932376,-2.20E-04,0.002320525,0.004644019,0.15515977,0.042760566,0.18203785,0.076147741,0.049311876,0.165834186,974.0099487,132.9021,5.6875,29.5,-42.0625,51.68995611,13:34:09,7/24/2018,female,,,FALSE,LOW,28.6230952,77.2677309
High,,,1.53E+12,-0.004415244,-0.005703688,-0.001364708,0.007340903,-6.40E-04,0.001518104,0.004043146,-0.002443461,0.1600467,0.3371976,0.03685214,0.104679288,0.251515893,974.0099487,132.9021,4.75,29.8125,-41.8125,51.57162798,13:34:10,7/24/2018,female,,,FALSE,LOW,28.6230952,77.2677309
High,,,1.53E+12,-0.002725661,-0.004270792,0.003624916,0.00622968,-8.49E-04,9.39E-04,0.004001323,-0.10140363,0.14905111,0.2687807,-0.032275745,0.126865199,0.260148296,973.9799805,133.1609,4.9375,30.1875,-41.375,51.45439425,13:34:10,7/24/2018,female,,,FALSE,LOW,28.6230952,77.2677309
High,,,1.53E+12,0.003037334,0.002064228,-0.001112938,0.003837325,-4.60E-04,0.001051716,0.003489897,-0.034208454,0.13316862,0.4605924,-0.033242099,0.13001691,0.360370348,973.9799805,133.1609,6.3125,30.875,-41.4375,52.05938616,13:34:10,7/24/2018,female,,,FALSE,LOW,28.6230952,77.2677309
High,,,1.53E+12,0.004244164,0.001553059,-1.14E-05,0.004519408,1.05E-05,0.00110185,0.003139763,0.1563815,0.20158553,0.20647246,0.0615697,0.16580122,0.283421404,974.1599731,131.6068,7.9375,31.625,-42.125,53.26969266,13:34:10,7/24/2018,female,,,FALSE,LOW,28.6230952,77.2677309
