MODE,ACTIVITY RECOGNIZED,PROBABILITY,TIMESTAMP,X AXIS,Y AXIS,Z AXIS,ACC MAGNITUDE,X FILTER AXIS,Y FILTER AXIS,Z FILTER AXIS,XG_AXIS,YG_AXIS,ZG_AXIS,Gyro_filter_X,Gyro_filter_Y,Gyro_filter_Z,BAROMETER,HEIGHT,x_magno,y_magno,z_magno,MAGNETOMETER,TIME,DATE,GENDER,CROWD DETECTED,COACH,IS_TRAIN_STARTED,STATION_CROWD,LATITUDE,LONGITUDE
6,,,1.5395E+12,0.0046103,0.005468369,0.004608154,0.008508408,-0.015570533,0.04450416,0.087600425,-0.12095132,0.013439035,0.035430185,-0.12095132,0.013439034,0.035430185,983.3499756,52.5632,-25.8125,-2.125,-30.4375,39.96551248,13:22:03,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,0.029159546,-0.019290447,-0.017957687,0.039304949,-0.011097524,0.038124695,0.07704461,-0.4728097,0.42271876,0.33108896,-0.15613715,0.05436701,0.06499606,983.3499756,52.5632,-25.9375,-3.375,-30.625,40.27449759,13:22:03,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-0.024033487,0.013406277,-0.010714054,0.029531808,-0.01239112,0.035652854,0.06826874,1.0567969,-0.14905111,-1.2547172,-0.034843743,0.034025192,-0.066975266,983.3699951,52.3916,-26,-3.6875,-31,40.627548,13:22:03,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-0.001581073,0.011625767,0.027665138,0.03005026,-0.011310115,0.033250146,0.06420838,0.81000733,-0.26511553,-0.4251622,0.04964137,0.004111119,-0.10279396,983.3699951,52.3916,-25.625,-4.4375,-31.1875,40.60778481,13:22:03,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,0.020286918,-0.004097462,-0.03247595,0.038510199,-0.008150411,0.029515384,0.054539945,-0.18325958,0.0720821,0.68539083,0.026351273,0.010908217,-0.023975477,983.3200073,52.82,-25.4375,-6.8125,-31.125,40.77060445,13:22:03,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,0.007672668,0.011834145,0.0211277,0.025402688,-0.006568103,0.02774726,0.051198717,0.33108896,-0.08307768,0.20891592,0.05682504,0.001509627,-6.86E-04,983.3200073,52.82,-26.1875,-8.375,-30.25,40.87772353,13:22:04,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-0.015629232,-0.011756897,-0.019516945,0.027629851,-0.007474215,0.023796843,0.04412715,-0.28099802,-0.23945917,-1.0885619,0.023042733,-0.022587255,-0.1094739,983.289978,53.0773,-26.6875,-9.125,-29.6875,40.94918726,13:22:04,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-0.00992465,0.023633003,0.012063026,0.028329033,-0.007719259,0.023780458,0.040920738,0.766025,-0.28221974,-0.41538838,0.097340964,-0.0485505,-0.14006534,983.289978,53.0773,-26.5625,-11.375,-28.625,40.67367277,13:22:04,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,0.004689157,-0.010872841,-4.54E-04,0.011849596,-0.006478417,0.020315127,0.036783267,0.20525073,0.44959682,0.6646214,0.10813194,0.001264233,-0.059596658,983.3200073,52.82,-26.3125,-13.25,-27.6875,40.42904664,13:22:04,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,0.013071418,-0.00719595,-0.012071133,0.0191926,-0.004523433,0.01756402,0.031897824,-1.0848967,0.17837265,0.28955013,-0.011170931,0.018975075,-0.024681978,983.3200073,52.82,-26,-14.5,-26.8125,40.06445003,13:22:04,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
