MODE,ACTIVITY RECOGNIZED,PROBABILITY,TIMESTAMP,X AXIS,Y AXIS,Z AXIS,ACC MAGNITUDE,X FILTER AXIS,Y FILTER AXIS,Z FILTER AXIS,XG_AXIS,YG_AXIS,ZG_AXIS,Gyro_filter_X,Gyro_filter_Y,Gyro_filter_Z,BAROMETER,HEIGHT,x_magno,y_magno,z_magno,MAGNETOMETER,TIME,DATE,GENDER,CROWD DETECTED,COACH,IS_TRAIN_STARTED,STATION_CROWD,LATITUDE,LONGITUDE
6,,,1.5395E+12,7.56E-04,-3.62E-04,0.001008034,0.001311205,0.002619305,0.004474116,0.05358225,0,0,0,-1,-1,-1,,,0,0,0,0,12:35:21,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-3.62E-04,-0.002485871,-0.002095223,0.003271142,0.001563173,0.002316634,0.024867235,-0.50335294,0.23579398,0.0720821,-0.50335294,0.23579398,0.0720821,,,0.5,-91.875,-30.25,96.72811445,12:35:21,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,7.64E-04,-9.50E-04,0.001159668,0.001682694,6.81E-04,0.00104144,0.013672355,0.1441642,-0.22724187,-0.05009095,-0.4386012,0.1894904,0.059864793,985.3099976,35.7824,0.5625,-92.875,-29,97.2989313,12:35:21,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,7.78E-04,-5.77E-04,0.002498627,0.002679648,3.89E-04,4.53E-04,0.007889763,0.1441642,-0.22724187,-0.05009095,-0.4386012,0.1894904,0.059864793,985.3099976,35.7824,0.5625,-92.875,-29,97.2989313,12:35:21,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-7.53E-04,0.002491713,-4.24E-04,0.002637268,5.63E-04,1.32E-04,0.002558712,-0.07941248,0.12461651,-0.50579643,-0.4026823,0.183003,0.003298666,985.3099976,35.7824,1,-93,-27.875,97.09281964,12:35:21,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,0.008452058,0.002309799,0.010162354,0.013418118,8.19E-04,4.51E-04,0.002617486,-0.07941248,0.12461651,-0.50579643,-0.4026823,0.183003,0.003298666,985.3099976,35.7824,1,-93,-27.875,97.09281964,12:35:21,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-0.005981743,3.96E-04,-5.71E-04,0.006022025,-2.96E-04,8.70E-04,0.001150483,0.058643065,-0.93462384,0.4361578,-0.35654977,0.0712403,0.04658458,985.4599609,34.4996,1.625,-92.375,-26.8125,96.20130668,12:35:22,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-0.001164407,-0.001928568,-7.80E-04,0.002384068,-3.17E-04,3.53E-04,5.46E-04,-0.23335053,0.33475417,0.6805039,-0.34422982,0.09759168,0.109976515,985.4599609,34.4996,2.625,-91.9375,-25.875,95.54533037,12:35:22,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-2.18E-04,-0.003662348,0.002505302,0.00444264,-3.32E-04,-2.16E-04,9.14E-04,-0.23335053,0.33475417,0.6805039,-0.34422982,0.09759168,0.109976515,985.4599609,34.4996,2.625,-91.9375,-25.875,95.54533037,12:35:22,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,0.001526387,-3.77E-04,1.85E-04,0.001583203,-3.25E-04,-1.86E-04,-2.34E-04,0.065973446,0.19914207,0.9016371,-0.30320948,0.10774672,0.18914257,985.3599854,35.3548,3.5625,-92.3125,-24.4375,95.55878018,12:35:22,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-5.88E-04,-0.001731515,-5.83E-04,0.001919279,-9.49E-04,-3.22E-04,-1.32E-05,0.065973446,0.19914207,0.9016371,-0.30320948,0.10774672,0.18914257,985.3599854,35.3548,3.5625,-92.3125,-24.4375,95.55878018,12:35:22,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-3.85E-04,5.96E-06,7.56E-04,8.49E-04,-4.79E-04,1.25E-04,-1.10E-04,0.061086524,0.4728097,1.0494665,-0.2667799,0.14425302,0.27517495,985.3599854,35.3548,3.5,-92.1875,-23.25,95.13857081,12:35:22,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-7.78E-04,0.002311945,2.05E-04,0.002447852,-3.80E-04,3.80E-04,1.57E-04,0.0720821,0.31398472,0.87109387,-0.23289369,0.16122618,0.33476683,985.3899536,35.0984,3.0625,-90.875,-22.75,93.72943524,12:35:22,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,9.72E-06,9.54E-06,-0.002104759,0.002104803,1.00E-04,3.54E-04,5.95E-05,0.0720821,0.31398472,0.87109387,-0.23289369,0.16122618,0.33476683,985.3899536,35.0984,3.0625,-90.875,-22.75,93.72943524,12:35:22,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-0.001727581,9.59E-04,5.87E-04,0.002061303,1.06E-04,1.49E-04,9.36E-05,-0.09040806,0.009773844,0.6010914,-0.21864513,0.14608094,0.3613993,985.3899536,35.0984,2,-89,-22.4375,91.80654337,12:35:23,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,9.75E-06,5.84E-04,1.87E-04,6.13E-04,2.88E-04,1.72E-04,-1.40E-04,-0.09040806,0.009773844,0.6010914,-0.21864513,0.14608094,0.3613993,985.3899536,35.0984,2,-89,-22.4375,91.80654337,12:35:23,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-0.001567125,1.94E-04,3.74E-04,0.001622688,-6.15E-04,1.54E-04,-5.64E-05,0.09407325,0.080634214,0.45570546,-0.18737328,0.13953626,0.3708299,985.3599854,35.3548,0.5,-87.25,-22.3125,90.05920362,12:35:23,10/14/2018,female,,,FALSE,,28.4308298,77.074955
6,,,1.5395E+12,-3.75E-04,-1.78E-04,0.00270462,0.002736325,2.30E-04,1.35E-04,1.80E-04,0.31764993,-0.058643065,0.41783184,-0.13687095,0.11971833,0.3755301,985.3599854,35.3548,-1.4375,-85.9375,-22.5,88.84576699,12:35:23,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-7.72E-04,0.001344442,-7.73E-04,0.001732569,-2.02E-04,8.14E-05,8.80E-05,0.27000242,0.2846632,0.49602258,-0.09618361,0.13621281,0.38757935,985.3599854,35.3548,-1.4375,-85.9375,-22.5,88.84576699,12:35:23,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,0.012059063,-0.002093554,-0.002689362,0.012531426,0.001023787,-1.36E-04,-1.90E-04,0.27000242,0.2846632,0.49602258,-0.09618361,0.13621281,0.38757935,985.3899536,35.0984,-3.875,-85,-22.875,88.10948445,12:35:23,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,6.95E-04,0.002085924,0.002463341,0.003301883,9.91E-04,8.61E-05,7.56E-05,0.12705997,0.27855456,0.689056,-0.07385925,0.15044698,0.417727,985.3899536,35.0984,-6.5,-83.625,-23.875,87.20898033,12:35:23,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-0.004781451,-0.009939075,-0.00303936,0.011440506,4.14E-04,-9.16E-04,-2.36E-04,-0.52534413,0.18936823,1.6383406,-0.11900774,0.1543391,0.53978837,985.4199829,34.8415,-9,-81.125,-24.8125,85.31076006,12:35:24,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-0.007709205,0.006029844,0.004948616,0.010967209,-3.99E-04,-2.22E-04,2.83E-04,0.27122417,0.42394048,1.3817772,-0.079984546,0.18129924,0.6239872,985.4199829,34.8415,-11.1875,-78.25,-25.6875,83.11480201,12:35:24,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,0.006243601,8.26E-04,4.86E-05,0.006298237,2.66E-04,-1.17E-04,2.59E-04,-0.28955013,0.057421334,1.001819,-0.1009411,0.16891144,0.66177034,985.3599854,35.3548,-13.4375,-74.9375,-26.875,80.73698618,12:35:24,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,0.002169333,-0.002481699,-0.00248909,0.004130424,4.56E-04,-3.53E-04,-1.57E-05,-0.04153884,0.10995574,0.5155703,-0.09500087,0.16301587,0.6471503,985.3599854,35.3548,-15.125,-71.3125,-28.5,78.27188692,12:35:24,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-0.002276748,-2.16E-04,-0.001749039,0.002879164,1.83E-04,-3.40E-04,-1.89E-04,0.41172317,0.089186326,0.22724187,-0.044328466,0.15563291,0.60515946,985.3899536,35.0984,-16.5,-67.4375,-29.9375,75.60635101,12:35:24,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-0.010174155,0.00248766,0.0020895,0.010680257,-8.53E-04,-5.70E-05,3.88E-05,0.10262536,0.18203785,0.15027285,-0.029633082,0.1582734,0.5596708,985.3899536,35.0984,-17.5625,-63.5625,-31.0625,72.89383869,12:35:25,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,0.002196729,-0.001315832,5.96E-04,0.002629126,-5.48E-04,-1.83E-04,9.46E-05,-0.013439035,-0.07086037,0.08552113,-0.028013678,0.13536002,0.51225585,985.3899536,35.0984,-18.1875,-59.3125,-32.375,69.97784248,12:35:25,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,0.002511919,-5.88E-04,3.88E-04,0.002608844,-2.42E-04,-2.23E-04,1.24E-04,0.13805555,0.06963864,0.10751228,-0.011406755,0.12878788,0.47178146,985.3899536,35.0984,-18,-55.3125,-33.5625,67.15589373,12:35:25,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-5.49E-04,-3.89E-04,-0.001527786,0.001669517,-2.73E-04,-2.40E-04,-4.12E-05,0.13561209,0.008552114,0.10751228,0.003295129,0.1167643,0.43535453,985.3599854,35.3548,-18.0625,-52,-34.875,65.16532461,12:35:25,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-0.007283926,0.001719952,-2.07E-04,0.007487098,-9.74E-04,-4.40E-05,-5.78E-05,0.58032197,0.032986723,0.20891592,0.060997814,0.10838654,0.41271067,985.3599854,35.3548,-18.0625,-49.5625,-35.9375,63.82945416,12:35:25,10/14/2018,female,,,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-0.001988173,0.00289011,9.56E-04,0.003635753,-0.001075303,2.49E-04,4.35E-05,0.28710666,0.03176499,0.02321288,0.0836087,0.100724384,0.37376088,985.2799683,36.0393,-17.0625,-48.1875,-37,63.1043902,12:35:26,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,0.006683826,-0.003418684,-0.001905441,0.007745427,-2.99E-04,-1.17E-04,-1.51E-04,-0.036651913,-0.17470746,-0.008552114,0.07158264,0.0731812,0.33552957,985.2799683,36.0393,-16.25,-47.75,-37.5,62.85200872,12:35:26,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,0.006579071,-0.003865004,0.002661705,0.008081281,3.88E-04,-4.92E-04,1.30E-04,0.26511553,-0.14782938,0.35430184,0.09093593,0.051080134,0.33740678,985.3599854,35.3548,-15.3125,-47.875,-38,63.01181065,12:35:26,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-1.26E-04,-0.001187921,0.001366615,0.001815104,3.37E-04,-5.62E-04,2.54E-04,-0.002443461,0.05131268,0.15760323,0.081597984,0.051103387,0.31942642,985.3599854,35.3548,-14.6875,-47.625,-38.3125,62.86263546,12:35:26,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,0.001722574,0.001328826,1.34E-05,0.002175596,4.76E-04,-3.73E-04,2.30E-04,0.040317107,0.057421334,0.13316862,0.07746989,0.05173518,0.30080065,985.3599854,35.3548,-14.625,-47.4375,-38.4375,62.78254883,12:35:26,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-0.00189811,-5.61E-04,-5.74E-04,0.002060958,2.38E-04,-3.92E-04,1.49E-04,-0.003665192,0.089186326,0.095294975,0.06935638,0.055480294,0.28025007,985.3599854,35.3548,-14.875,-46.875,-38.3125,62.34082857,12:35:26,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-7.85E-04,7.61E-04,-5.81E-04,0.001237805,1.36E-04,-2.76E-04,7.62E-05,0.05497787,-0.028099801,0.081855945,0.067918524,0.047122285,0.26041067,985.3599854,35.3548,-14.875,-46.5625,-38.3125,62.10619685,12:35:27,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,0.001141369,-1.84E-04,5.69E-04,0.001288685,2.36E-04,-2.67E-04,1.26E-04,0.1441642,-0.019547688,0.07452556,0.07554309,0.040455285,0.24182215,985.3599854,35.3548,-14.6875,-45.9375,-38.25,61.55517088,12:35:27,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,7.78E-04,-9.60E-04,3.88E-04,0.001294583,2.91E-04,-3.36E-04,1.52E-04,-0.039095376,-0.11484267,0.07819075,0.06407925,0.024925487,0.22545901,985.3099976,35.7824,-15.1875,-45.25,-38,61.01002095,12:35:27,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,7.74E-04,1.82E-04,-5.70E-04,9.78E-04,3.39E-04,-2.84E-04,7.96E-05,0.047647487,-0.05375614,0.081855945,0.062436067,0.017057324,0.2110987,985.3099976,35.7824,-15.8125,-44.6875,-37.5625,60.48098229,12:35:27,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,1.99E-04,-5.73E-04,3.78E-04,7.14E-04,3.25E-04,-3.13E-04,1.09E-04,-0.007330383,-0.037873644,0.10262536,0.05545942,0.011564226,0.20025136,985.3099976,35.7824,-16.4375,-44,-37.5,60.10358896,12:35:27,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,3.85E-04,-5.80E-04,9.61E-04,0.001187071,3.31E-04,-3.40E-04,1.95E-04,-0.013439035,-0.06963864,0.0842994,0.048569575,0.003443939,0.18865617,985.3099976,35.7824,-16.6875,-43.25,-37.375,59.54767654,12:35:28,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,1.95E-04,-0.001921177,-0.001331329,0.002345535,3.17E-04,-4.98E-04,4.20E-05,-0.007330383,-0.029321533,0.056199603,0.04297958,1.67E-04,0.17541051,985.4499512,34.5852,-16.6875,-42.9375,-37.1875,59.20313943,12:35:28,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-9.56E-04,-4.02E-04,9.44E-04,0.001402386,1.90E-04,-4.89E-04,1.32E-04,0.06963864,-0.05009095,0.05375614,0.045645483,-0.004858443,0.16324507,985.4499512,34.5852,-16.625,-42.75,-37.0625,58.97102705,12:35:28,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,3.89E-04,7.64E-04,3.83E-04,9.39E-04,2.28E-04,-2.34E-04,2.60E-05,0.06963864,-0.05009095,0.05375614,0.045645483,-0.004858443,0.16324507,985.4499512,34.5852,-16.625,-42.75,-37.0625,58.97102705,12:35:28,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-1.97E-04,1.88E-04,1.94E-04,3.34E-04,7.83E-05,-1.04E-04,1.32E-04,0,-0.042760566,0.08552113,0.041080933,-0.008648655,0.15547268,985.3899536,35.0984,-16.75,-42.5625,-36.8125,58.71361905,12:35:28,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-5.78E-04,1.90E-04,-5.79E-04,8.40E-04,2.28E-05,-6.21E-05,-6.47E-05,0,-0.042760566,0.08552113,0.041080933,-0.008648655,0.15547268,985.3899536,35.0984,-16.75,-42.5625,-36.8125,58.71361905,12:35:28,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,3.81E-04,1.88E-04,-9.56E-04,0.001045815,1.20E-04,-2.96E-06,1.01E-04,0.014660766,0.002443461,0.073303826,0.038438916,-0.007539444,0.1472558,985.3899536,35.0984,-16.9375,-42.5,-36.9375,58.80057663,12:35:28,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,-1.93E-04,5.69E-04,3.75E-04,7.08E-04,1.31E-05,-6.55E-05,-1.14E-04,0.05009095,-0.06841691,0.04642576,0.03960412,-0.01362719,0.13717279,985.4199829,34.8415,-17.25,-42.125,-36.8125,58.54261936,12:35:29,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,7.64E-04,-5.75E-04,-7.64E-04,0.00122391,1.06E-04,-5.38E-05,3.07E-05,0.05009095,-0.06841691,0.04642576,0.03960412,-0.01362719,0.13717279,985.4199829,34.8415,-17.25,-42.125,-36.8125,58.54261936,12:35:29,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,5.83E-06,-7.78E-04,-7.61E-04,0.001088143,1.67E-04,-2.64E-04,-1.09E-04,-0.103847094,-0.17959438,0.1001819,0.025259,-0.03022391,0.1334737,985.4199829,34.8415,-17.375,-41.875,-36.75,58.36067811,12:35:29,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
6,,,1.5395E+12,1.92E-04,-1.93E-04,3.83E-04,4.70E-04,6.68E-05,-1.12E-04,1.25E-04,-0.103847094,-0.17959438,0.1001819,0.025259,-0.03022391,0.1334737,985.4199829,34.8415,-17.375,-41.875,-36.75,58.36067811,12:35:29,10/14/2018,female,,Ladies Coach,FALSE,LOW,28.4308298,77.074955
